X_AXIS,Y_AXIS,Z_AXIS,BATTERY_VOLTS
-0.29,0.16,0.60,27.60
0.07,2.89,-0.73,27.60
0.01,5.00,-2.02,27.60
-0.18,4.72,-2.63,27.60
0.36,2.23,-0.20,27.60
-0.22,-1.02,1.58,27.60
0.00,-1.46,2.09,27.60
-0.06,-1.17,2.31,27.60
-0.26,2.30,-1.01,27.60
0.07,4.69,-2.46,27.60
-0.11,5.16,-2.23,27.60
0.26,2.39,-0.88,27.60
0.19,-0.47,1.68,27.60
-0.21,-1.62,2.25,27.60
0.22,-1.10,1.75,27.60
-0.21,1.56,0.08,27.60
-0.31,4.75,-2.53,27.60
-0.35,5.29,-2.47,27.60
0.78,3.15,-0.41,27.60
-0.22,0.07,0.55,27.60
-0.45,-1.46,1.71,27.60
0.50,-1.62,2.92,27.60
-0.09,1.18,0.06,27.60
-0.25,4.35,-2.58,27.60
-0.36,4.95,-2.45,27.60
-0.45,3.52,-1.93,27.60
0.13,0.48,0.85,27.60
0.02,-1.40,2.12,27.60
0.14,-1.77,2.41,27.60
0.32,0.45,1.02,27.60
-0.04,3.67,-1.59,27.60
-0.48,4.99,-2.72,27.60
0.02,4.15,-2.15,27.60
-0.47,1.55,-0.64,27.60
0.50,-1.30,2.66,27.60
-0.02,-1.93,2.48,27.60
-0.24,0.27,0.66,27.60
0.30,2.98,-0.67,27.60
-0.15,5.03,-2.77,27.60
0.82,4.59,-2.32,27.60
-0.09,1.59,-0.44,27.60
0.03,-0.88,1.51,27.60
0.09,-2.17,3.22,27.60
-0.23,-0.46,1.32,27.60
-0.00,2.74,-1.04,27.60
0.44,4.73,-1.88,27.60
0.56,5.03,-2.21,27.60
0.40,2.49,-0.84,27.60
-0.21,-0.60,1.22,27.60
0.12,-1.92,2.83,27.60
0.02,-1.04,1.77,27.60
-0.31,2.04,-0.71,27.60
0.25,4.61,-2.34,27.60
-0.17,5.32,-2.63,27.60
0.42,2.73,-1.02,27.60
-0.04,-0.53,1.38,27.60
-0.32,-1.37,1.84,27.60
-0.05,-1.33,2.15,27.60
0.19,1.12,0.73,27.60
-0.36,4.77,-2.64,27.60
-0.19,5.29,-3.04,27.60
-0.47,3.54,-1.59,27.60
0.24,0.20,1.21,27.60
0.52,-1.60,2.53,27.60
-0.10,-1.09,1.71,27.60
0.41,0.76,0.54,27.60
-0.01,4.02,-1.43,27.60
-0.35,4.92,-3.28,27.60
-0.71,3.86,-2.30,27.60
-0.24,0.92,0.28,27.60
0.55,-1.36,2.54,27.60
-0.10,-1.87,2.24,27.60
-0.16,0.67,0.61,27.60
0.30,3.20,-0.89,27.60
-0.14,5.32,-2.81,27.60
0.71,4.52,-2.14,27.60
0.05,1.62,-0.51,27.60
-0.21,-1.28,1.46,27.60
0.06,-1.87,2.95,27.60
-0.46,-0.29,1.28,27.60
0.32,2.95,-1.15,27.60
0.24,4.87,-2.33,27.60
0.59,4.80,-2.48,27.60
-0.35,2.13,-0.94,27.60
-0.09,-0.95,1.70,27.60
0.32,-1.80,3.04,27.60
-0.65,-0.37,0.97,27.60
0.38,2.20,-0.21,27.60
0.44,4.62,-1.94,27.60
0.54,5.46,-2.79,27.60
0.18,2.66,-0.82,27.60
-0.21,-0.49,1.01,27.60
0.14,-1.93,2.39,27.60
-0.11,-1.18,2.22,27.60
0.28,1.84,-0.47,27.60
0.26,4.59,-2.05,27.60
-0.24,5.05,-2.75,27.60
-0.35,3.31,-1.78,27.60
0.29,-0.24,1.82,27.60
-0.01,-1.65,2.50,27.60
-0.27,-1.16,1.38,27.60
0.52,0.90,0.98,27.60
-0.31,4.28,-2.07,27.60
-0.25,5.23,-3.67,27.60
-0.40,3.40,-1.37,27.60
0.23,0.66,0.75,27.60
0.03,-1.64,1.91,27.60
-0.14,-1.53,2.25,27.60
0.29,0.44,1.02,27.60
-0.04,3.86,-1.83,27.60
-0.16,4.94,-3.06,27.60
-0.62,4.13,-2.26,27.60
-0.07,1.18,0.01,27.60
0.20,-1.23,2.39,27.60
-0.12,-1.96,2.25,27.60
0.17,0.27,1.15,27.60
0.09,3.08,-0.99,27.60
-0.60,5.23,-3.14,27.60
0.40,4.72,-2.41,27.60
-0.11,2.03,-0.72,27.60
0.17,-1.27,1.88,27.60
-0.08,-1.88,2.75,27.60
-0.37,-0.50,1.10,27.60
0.19,2.55,-0.58,27.60
-0.17,4.87,-2.39,27.60
0.10,5.08,-2.40,27.60
0.65,2.10,-0.08,27.60
-0.17,-0.66,1.36,27.60
-0.31,-1.64,2.04,27.60
0.16,-1.19,2.70,27.60
-0.17,2.17,-0.93,27.60
0.20,4.79,-2.36,27.60
-0.39,5.47,-2.22,27.60
0.48,2.91,-0.71,27.60
-0.39,0.03,0.91,27.60
-0.10,-1.69,2.53,27.60
0.32,-1.34,2.45,27.60
0.22,1.40,0.01,27.60
-0.18,4.46,-2.32,27.60
0.23,4.70,-2.68,27.60
-0.83,3.46,-2.11,27.60
-0.12,0.24,0.78,27.60
0.42,-1.61,2.95,27.60
-0.31,-1.62,1.82,27.60
-0.09,0.96,0.20,27.60
-0.17,3.77,-1.29,27.60
-0.16,5.13,-2.88,27.60
-0.72,3.84,-2.56,27.60
-0.21,1.05,0.22,27.60
0.49,-1.49,2.74,27.60
-0.19,-1.61,2.08,27.60
-0.19,0.45,0.74,27.60
0.35,3.05,-0.61,27.60
-0.27,5.36,-3.07,27.60
0.43,4.57,-2.55,27.60
-0.29,1.46,-0.40,27.60
0.00,-1.15,2.01,27.60
-0.01,-1.97,2.67,27.60
-0.25,-0.02,1.15,27.60
0.17,2.77,-0.72,27.60
-0.15,4.90,-2.55,27.60
0.72,4.69,-2.15,27.60
0.03,2.28,-0.60,27.60
-0.46,-0.87,1.11,27.60
0.28,-2.10,3.18,27.60
-0.24,-0.75,1.39,27.60
-0.14,2.37,-0.99,27.60
0.39,4.63,-2.01,27.60
-0.03,5.27,-2.64,27.60
0.40,2.22,-0.57,27.60
-0.15,-0.60,1.51,27.60
-0.57,-1.33,1.72,27.60
0.27,-1.47,2.39,27.60
-0.16,1.69,0.01,27.60
-0.28,4.73,-2.98,27.60
-0.31,5.24,-2.13,27.60
0.79,3.23,-0.77,27.60
-0.28,0.00,0.36,27.60
-0.20,-1.58,2.22,27.60
0.25,-1.48,2.42,27.60
-0.15,0.95,-0.05,27.60
-0.16,4.18,-1.87,27.60
0.11,4.99,-2.71,27.60
-0.85,3.73,-2.55,27.60
0.41,0.35,1.31,27.60
0.19,-1.41,2.28,27.60
-0.10,-1.53,1.82,27.60
0.33,0.47,1.29,27.60
-0.22,3.43,-1.53,27.60
-0.23,5.38,-3.26,27.60
-0.03,3.91,-1.80,27.60
-0.18,1.45,-0.49,27.60
0.40,-1.17,1.88,27.60
0.12,-1.89,2.91,27.60
-0.32,0.20,0.34,27.60
0.26,3.14,-0.77,27.60
-0.02,5.04,-2.33,27.60
0.48,4.63,-2.27,27.60
0.58,1.64,0.15,27.60
-0.31,-1.01,1.07,27.60
0.13,-1.76,2.63,27.60
0.02,-0.80,2.24,27.60
0.02,2.74,-1.26,27.60
-0.01,4.84,-2.45,27.60
0.94,4.74,-1.69,27.60
0.25,2.52,-1.11,27.60
-0.43,-0.40,0.71,27.60
0.30,-2.21,3.30,27.60
-0.07,-1.05,1.73,27.60
-0.31,2.07,-0.70,27.60
0.09,4.36,-1.55,27.60
-0.12,5.56,-2.57,27.60
0.67,2.78,-0.77,27.60
-0.03,-0.41,1.22,27.60
-0.28,-1.35,1.79,27.60
0.22,-1.73,2.61,27.60
0.13,1.42,0.34,27.60
-0.22,4.52,-2.77,27.60
-0.23,5.25,-2.40,27.60
-0.33,3.32,-1.32,27.60
0.21,0.49,0.91,27.60
0.03,-1.59,2.15,27.60
0.09,-1.25,2.19,27.60
0.15,0.62,0.85,27.60
-0.04,4.07,-1.64,27.60
0.03,5.31,-3.02,27.60
0.05,3.88,-1.97,27.60
-0.55,0.91,-0.66,27.60
0.19,-1.24,2.48,27.60
0.03,-1.94,2.71,27.60
-0.35,0.84,0.40,27.60
0.28,3.07,-0.87,27.60
0.03,5.04,-2.69,27.60
0.31,4.41,-2.67,27.60
-0.51,1.91,-0.99,27.60
0.35,-1.14,2.35,27.60
-0.08,-1.93,2.54,27.60
-0.43,0.01,0.77,27.60
0.20,2.85,-0.64,27.60
0.19,5.07,-2.33,27.60
-0.12,4.74,-2.35,27.60
0.62,1.96,0.05,27.60
-0.52,-0.77,1.05,27.60
0.03,-1.68,2.65,27.60
-0.03,-0.77,2.12,27.60
0.02,2.42,-0.93,27.60
0.37,4.53,-2.00,27.60
0.13,5.25,-2.10,27.60
0.66,2.59,-0.73,27.60
-0.30,-0.25,0.71,27.60
0.12,-1.66,2.53,27.60
0.14,-1.34,2.35,27.60
0.08,1.86,-0.41,27.60
0.14,4.53,-2.04,27.60
-0.53,5.13,-2.59,27.60
-0.22,3.35,-1.79,27.60
0.47,-0.13,1.66,27.60
-0.30,-1.54,2.11,27.60
-0.04,-1.30,1.69,27.60
0.24,0.85,1.16,27.60
-0.28,4.25,-2.07,27.60
0.00,5.27,-3.24,27.60
-0.30,3.45,-1.45,27.60
-0.40,0.98,-0.35,27.60
0.43,-1.44,2.38,27.60
-0.02,-1.93,2.78,27.60
-0.06,0.73,-0.12,27.60
-0.04,3.47,-0.94,27.60
-0.13,4.97,-2.47,27.60
-0.47,4.36,-3.07,27.60
-0.35,1.55,-0.63,27.60
0.75,-1.40,3.03,27.60
-0.16,-1.72,2.05,27.60
-0.04,0.32,0.67,27.60
0.35,2.66,-0.34,27.60
-0.60,5.26,-3.11,27.60
0.72,4.81,-2.32,27.60
-0.46,2.13,-0.71,27.60
0.25,-0.62,1.63,27.60
0.20,-1.96,2.97,27.60
-0.37,-0.40,1.31,27.60
-0.16,2.68,-1.25,27.60
-0.05,4.69,-2.01,27.60
-0.23,4.91,-2.49,27.60
0.58,2.44,-0.60,27.60
0.27,-0.85,1.85,27.60
-0.31,-1.49,1.86,27.60
0.15,-1.08,2.17,27.60
0.04,1.72,-0.05,27.60
-0.07,4.92,-3.21,27.60
-0.16,5.26,-2.13,27.60
0.87,2.37,-0.17,27.60
-0.27,-0.03,0.52,27.60
-0.38,-1.78,2.03,27.60
0.42,-1.59,2.79,27.60
-0.28,1.35,-0.17,27.60
-0.06,4.52,-2.60,27.60
-0.06,5.04,-2.18,27.60
-0.25,3.45,-1.76,27.60
0.35,0.08,1.04,27.60
-0.13,-1.54,2.15,27.60
-0.05,-1.41,1.99,27.60
0.37,0.69,0.76,27.60
-0.11,3.97,-1.82,27.60
-0.12,4.92,-3.38,27.60
-0.77,3.73,-2.03,27.60
-0.24,1.04,0.53,27.60
0.27,-1.48,2.18,27.60
0.04,-1.55,2.10,27.60
-0.12,0.13,0.93,27.60
0.12,3.09,-0.86,27.60
-0.34,5.34,-2.98,27.60
0.33,4.35,-2.40,27.60
-0.55,1.74,-0.79,27.60
0.15,-1.02,1.90,27.60
0.17,-1.87,2.85,27.60
-0.47,0.01,0.86,27.60
0.21,2.70,-0.57,27.60
0.13,4.87,-2.18,27.60
0.62,4.88,-2.61,27.60
-0.12,2.24,-0.64,27.60
0.21,-0.86,1.98,27.60
0.15,-1.86,2.79,27.60
-0.36,-0.82,1.45,27.60
0.11,2.20,-0.46,27.60
-0.01,4.70,-2.31,27.60
-0.05,5.23,-2.48,27.60
0.75,2.52,-0.37,27.60
-0.06,-0.44,1.37,27.60
-0.37,-1.42,1.80,27.60
0.18,-1.37,2.39,27.60
0.15,1.58,0.20,27.60
-0.10,4.52,-2.71,27.60
-0.41,5.48,-2.53,27.60
0.56,3.07,-0.83,27.60
-0.02,-0.07,0.96,27.60
-0.60,-1.58,1.74,27.60
0.32,-1.61,2.66,27.60
0.38,0.82,0.75,27.60
-0.24,4.34,-2.35,27.60
-0.14,5.14,-2.59,27.60
-0.32,3.76,-1.96,27.60
-0.35,0.67,-0.24,27.60
0.52,-1.33,2.84,27.60
-0.09,-1.83,2.54,27.60
-0.02,0.87,0.18,27.60
0.15,3.33,-0.82,27.60
-0.06,5.30,-3.05,27.60
0.45,4.18,-2.04,27.60
-0.52,1.48,-0.78,27.60
0.34,-1.19,2.37,27.60
0.08,-1.98,2.89,27.60
-0.14,-0.03,0.73,27.60
0.03,3.33,-1.23,27.60
-0.07,4.86,-2.28,27.60
0.78,4.81,-2.25,27.60
-0.24,1.84,-0.66,27.60
-0.27,-1.03,1.36,27.60
0.44,-1.89,3.32,27.60
-0.29,-0.53,1.12,27.60
-0.14,2.92,-1.08,27.60
0.35,4.65,-1.67,27.60
0.04,4.81,-2.33,27.60
0.42,2.49,-0.53,27.60
-0.08,-0.76,1.34,27.60
0.14,-1.57,2.45,27.60
0.11,-1.24,2.06,27.60
-0.20,2.12,-0.62,27.60
0.12,4.62,-2.05,27.60
0.08,5.21,-1.88,27.60
0.74,2.80,-0.84,27.60
-0.41,-0.06,0.52,27.60
-0.05,-1.53,2.49,27.60
0.09,-1.68,2.32,27.60
-0.24,1.30,-0.06,27.60
0.18,4.30,-1.85,27.60
-0.16,5.14,-2.69,27.60
-0.76,3.61,-2.25,27.60
0.53,0.12,1.75,27.60
-0.06,-1.28,1.97,27.60
0.06,-1.39,1.99,27.60
0.45,0.47,1.46,27.60
-0.15,4.08,-1.99,27.60
-0.08,5.23,-3.23,27.60
-0.01,3.76,-1.62,27.60
-0.37,1.03,-0.60,27.60
0.30,-1.34,2.22,27.60
0.16,-2.00,3.06,27.60
-0.16,0.50,0.41,27.60
0.09,3.28,-1.08,27.60
-0.23,5.06,-2.70,27.60
-0.27,4.49,-2.75,27.60
-0.16,1.84,-0.61,27.60
0.62,-1.08,2.70,27.60
-0.09,-1.74,2.34,27.60
-0.31,-0.15,0.83,27.60
0.21,2.75,-0.35,27.60
0.01,5.08,-2.68,27.60
0.72,4.78,-2.16,27.60
0.33,1.97,-0.29,27.60
-0.35,-0.79,0.79,27.60
0.27,-1.88,3.23,27.60
-0.23,-0.93,1.97,27.60
-0.04,2.37,-1.15,27.60
0.32,4.55,-1.86,27.60
-0.29,5.08,-2.39,27.60
0.67,2.80,-0.87,27.60
0.22,-0.62,1.64,27.60
-0.23,-1.58,2.13,27.60
-0.06,-1.10,1.71,27.60
-0.12,1.39,0.18,27.60
0.06,4.66,-2.49,27.60
-0.20,5.10,-2.72,27.60
-0.43,3.19,-1.52,27.60
0.23,0.02,1.61,27.60
-0.46,-1.46,1.72,27.60
0.26,-1.40,2.36,27.60
0.21,0.94,0.81,27.60
-0.41,4.34,-2.38,27.60
-0.04,5.10,-2.73,27.60
-0.77,3.89,-2.11,27.60
0.19,0.52,0.80,27.60
0.16,-1.60,2.24,27.60
-0.18,-1.26,1.89,27.60
0.36,0.28,1.23,27.60
-0.27,3.61,-1.38,27.60
-0.24,5.14,-3.18,27.60
0.42,4.17,-1.90,27.60
-0.52,1.61,-0.83,27.60
0.10,-0.97,2.00,27.60
0.05,-1.94,2.90,27.60
-0.41,0.32,0.74,27.60
0.28,3.13,-0.98,27.60
0.02,4.91,-2.33,27.60
0.38,4.70,-2.56,27.60
-0.65,2.19,-1.33,27.60
0.12,-1.09,2.22,27.60
0.37,-2.10,3.30,27.60
-0.50,-0.24,0.53,27.60
0.26,2.62,-0.63,27.60
0.17,4.68,-1.57,27.60
0.07,4.86,-2.85,27.60
0.44,2.29,-0.32,27.60
-0.33,-0.85,1.18,27.60
-0.03,-1.64,2.20,27.60
0.10,-1.20,2.33,27.60
-0.18,1.99,-0.50,27.60
0.10,4.68,-2.44,27.60
-0.13,5.27,-2.08,27.60
0.52,2.63,-0.94,27.60
0.14,-0.24,0.90,27.60
0.10,-1.61,2.40,27.60
0.14,-1.55,2.34,27.60
0.15,1.25,0.17,27.60
-0.14,4.43,-2.06,27.60
-0.04,4.94,-2.87,27.60
-0.90,3.74,-2.17,27.60
0.17,0.31,0.88,27.60
0.43,-1.65,2.76,27.60
-0.19,-1.52,1.70,27.60
0.40,0.86,0.65,27.60
-0.27,3.81,-1.63,27.60
-0.12,5.07,-3.50,27.60
-0.63,3.84,-2.17,27.60
0.00,0.84,0.30,27.60
0.24,-1.38,2.17,27.60
-0.27,-1.48,2.01,27.60
-0.08,0.13,1.48,27.60
0.01,3.01,-1.11,27.60
-0.18,5.33,-3.00,27.60
0.53,4.42,-1.89,27.60
-0.60,1.84,-1.22,27.60
0.40,-1.01,2.04,27.60
0.20,-2.23,3.20,27.60
-0.37,-0.01,0.35,27.60
0.11,2.62,-0.59,27.60
0.12,4.84,-1.62,27.60
0.04,5.02,-2.78,27.60
0.61,2.18,0.14,27.60
-0.05,-1.04,1.46,27.60
-0.10,-1.54,2.33,27.60
-0.30,-1.04,2.11,27.60
-0.16,2.33,-0.64,27.60
0.37,4.60,-2.21,27.60
0.25,5.04,-2.28,27.60
0.40,2.42,-0.74,27.60
-0.35,-0.43,0.47,27.60
0.29,-1.72,2.70,27.60
0.06,-1.48,2.48,27.60
0.06,1.92,-0.41,27.60
0.28,4.38,-2.05,27.60
0.09,4.96,-2.71,27.60
-0.67,3.33,-2.38,27.60
0.59,0.03,1.85,27.60
0.24,-1.90,2.81,27.60
-0.31,-1.18,1.26,27.60
0.52,0.69,0.93,27.60
-0.08,4.17,-1.63,27.60
-0.20,5.04,-3.55,27.60
-0.56,4.01,-1.87,27.60
0.13,0.48,1.04,27.60
0.15,-1.31,2.40,27.60
-0.20,-1.43,1.78,27.60
0.23,0.47,0.94,27.60
-0.08,3.55,-1.42,27.60
-0.20,4.95,-3.18,27.60
-0.40,4.01,-2.04,27.60
-0.51,1.40,-0.81,27.60
0.29,-1.23,2.21,27.60
-0.21,-1.82,2.68,27.60
-0.24,0.11,0.83,27.60
0.07,2.92,-0.77,27.60
-0.33,5.08,-2.86,27.60
0.67,4.76,-2.41,27.60
-0.65,2.18,-1.12,27.60
-0.13,-0.73,1.70,27.60
0.44,-2.15,3.39,27.60
-0.32,-0.28,1.07,27.60
-0.20,2.70,-1.31,27.60
0.02,4.61,-1.83,27.60
0.33,5.01,-2.39,27.60
0.28,2.37,-0.41,27.60
-0.25,-0.73,1.11,27.60
-0.24,-1.66,2.30,27.60
0.13,-1.24,2.53,27.60
-0.19,1.93,-0.60,27.60
0.17,4.76,-2.47,27.60
-0.07,4.81,-2.30,27.60
-0.37,3.03,-1.71,27.60
0.12,-0.16,1.30,27.60
0.17,-1.79,2.91,27.60
-0.15,-1.21,1.44,27.60
0.23,1.01,0.45,27.60
-0.12,4.27,-2.08,27.60
-0.27,5.44,-3.67,27.60
-0.32,3.36,-1.58,27.60
0.40,0.09,1.45,27.60
-0.05,-1.42,1.91,27.60
-0.09,-1.39,2.12,27.60
0.17,0.65,0.93,27.60
-0.09,3.96,-1.90,27.60
-0.11,5.06,-2.58,27.60
-0.51,3.96,-2.25,27.60
-0.51,1.08,-0.55,27.60
0.54,-1.49,2.82,27.60
-0.20,-1.79,2.32,27.60
-0.21,0.35,0.17,27.60
0.07,2.89,-0.55,27.60
-0.26,5.15,-2.75,27.60
0.54,4.46,-2.41,27.60
0.04,1.72,-0.50,27.60
0.06,-1.27,1.69,27.60
0.10,-1.91,2.74,27.60
-0.18,-0.43,1.31,27.60
-0.15,2.87,-1.19,27.60
0.03,4.81,-2.36,27.60
0.36,5.19,-2.12,27.60
0.27,2.27,-0.37,27.60
-0.44,-0.80,1.26,27.60
-0.03,-1.64,2.34,27.60
0.13,-1.01,2.31,27.60
-0.23,2.50,-1.02,27.60
0.30,4.66,-2.03,27.60
-0.35,4.83,-2.04,27.60
0.67,2.62,-0.76,27.60
-0.35,-0.71,0.83,27.60
0.05,-1.66,2.60,27.60
0.06,-1.30,2.04,27.60
0.02,1.42,-0.09,27.60
0.16,4.57,-2.31,27.60
0.20,5.09,-2.97,27.60
-0.95,3.19,-2.03,27.60
-0.21,0.06,1.07,27.60
0.38,-1.65,2.87,27.60
-0.18,-1.45,1.70,27.60
-0.01,1.12,0.37,27.60
-0.02,4.16,-1.58,27.60
-0.21,5.17,-3.22,27.60
-0.68,3.95,-2.23,27.60
0.47,0.30,1.44,27.60
-0.09,-1.45,2.01,27.60
-0.48,-1.11,1.44,27.60
0.32,0.24,1.56,27.60
-0.12,3.55,-1.25,27.60
-0.27,5.34,-3.56,27.60
0.45,4.25,-1.56,27.60
-0.61,1.27,-0.85,27.60
-0.07,-0.93,1.35,27.60
0.46,-2.29,3.84,27.60
-0.43,0.28,0.72,27.60
0.16,3.13,-1.44,27.60
0.22,4.76,-1.84,27.60
0.48,4.82,-2.64,27.60
-0.13,2.17,-0.94,27.60
0.04,-1.14,2.07,27.60
-0.24,-1.87,2.76,27.60
-0.18,-0.72,0.98,27.60
0.15,2.56,-0.34,27.60
0.06,4.72,-1.91,27.60
-0.26,5.00,-2.44,27.60
0.78,2.37,0.04,27.60
-0.42,-0.63,0.88,27.60
-0.05,-1.52,2.21,27.60
0.03,-1.36,2.56,27.60
-0.12,1.97,-0.46,27.60
0.08,4.67,-2.45,27.60
-0.14,5.03,-2.30,27.60
-0.14,2.94,-1.46,27.60
0.49,-0.19,1.83,27.60
-0.27,-1.68,2.26,27.60
-0.20,-1.14,1.73,27.60
0.51,0.78,0.99,27.60
-0.28,4.57,-2.42,27.60
-0.21,5.21,-3.61,27.60
-0.61,3.39,-1.50,27.60
0.43,0.28,1.33,27.60
-0.17,-1.24,1.61,27.60
0.17,-1.54,2.21,27.60
0.51,0.47,1.28,27.60
-0.44,3.98,-1.89,27.60
-0.47,5.01,-2.99,27.60
-0.36,3.95,-1.96,27.60
-0.19,1.03,-0.44,27.60
0.46,-1.36,2.39,27.60
-0.22,-1.84,2.38,27.60
-0.26,0.51,0.48,27.60
0.16,2.98,-0.59,27.60
-0.18,5.17,-2.81,27.60
0.43,4.80,-2.69,27.60
-0.52,1.86,-0.67,27.60
0.20,-1.02,2.13,27.60
-0.00,-1.90,2.68,27.60
-0.38,-0.30,1.40,27.60
0.15,2.71,-0.78,27.60
0.02,4.84,-2.23,27.60
0.75,5.10,-2.39,27.60
0.07,2.24,-0.92,27.60
-0.49,-0.70,1.08,27.60
0.36,-1.98,3.30,27.60
-0.16,-0.99,1.54,27.60
-0.18,2.66,-0.98,27.60
0.53,4.41,-1.58,27.60
-0.53,4.98,-2.42,27.60
0.44,2.76,-0.86,27.60
-0.32,-0.24,1.17,27.60
-0.04,-1.63,2.31,27.60
0.22,-1.36,2.58,27.60
-0.06,1.42,-0.31,27.60
0.06,4.66,-2.44,27.60
0.12,5.00,-2.70,27.60
-0.33,3.05,-1.78,27.60
0.38,0.02,1.31,27.60
0.15,-1.44,2.53,27.60
-0.33,-1.43,1.40,27.60
0.53,0.72,1.08,27.60
-0.25,4.20,-2.15,27.60
-0.30,5.34,-3.47,27.60
-0.59,3.83,-1.67,27.60
-0.12,0.72,0.18,27.60
0.35,-1.44,2.33,27.60
-0.09,-1.77,2.44,27.60
-0.08,0.66,0.44,27.60
-0.13,3.27,-1.17,27.60
-0.20,5.12,-2.48,27.60
-0.03,4.16,-2.60,27.60
-0.43,1.33,-0.65,27.60
0.61,-1.37,2.60,27.60
0.10,-1.90,2.67,27.60
-0.37,0.10,0.26,27.60
0.24,2.63,-0.44,27.60
0.08,5.03,-2.26,27.60
0.39,4.81,-2.77,27.60
-0.21,2.19,-0.89,27.60
0.42,-0.90,2.05,27.60
-0.05,-1.83,2.54,27.60
-0.44,-0.51,1.69,27.60
-0.01,2.59,-0.69,27.60
0.05,4.81,-2.44,27.60
-0.38,5.17,-2.46,27.60
0.96,2.36,0.08,27.60
-0.08,-0.58,1.06,27.60
-0.28,-1.60,2.23,27.60
0.12,-1.12,2.41,27.60
-0.31,1.93,-0.38,27.60
0.08,4.60,-2.50,27.60
-0.22,5.26,-2.35,27.60
0.43,2.93,-0.88,27.60
-0.17,0.04,1.35,27.60
-0.31,-1.56,1.85,27.60
0.20,-1.39,2.48,27.60
0.48,0.90,0.70,27.60
